family,species,unique_id,year_s,year_e,year_range,times_visited_annual_scale,latitude_mean,abs_latitude_mean,longitude_mean,spatial_pos,thermal_pos,slope,se_slope,r.squared,shift_of_min_sm,mean_shift,habitat,Vulnerability,sqrt_n,study_id,temporal_mismatch,bt_bs_dist_of_min_sm,BioShifts_prab,BioShifts_quality,BioShifts_ref,slope_pois,se_slope_pois,cv_pop,ln_ratio_fitted,inverse_se_pois,sqrt_inverse_se_pois,ABUNDANCE_TYPE,commercial_two_level
Agonidae,Agonus cataphractus,Agonus cataphractus 428 32,1995,2012,18,3,58.15523,58.15523,8.245372,0.021822743,-0.267019827,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,18,288.7801744,ABUND,LOW,48,0,0.082015,0,0,12.19289154,3.491832119,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 326,1938,2004,67,3,59.63838,59.63838,10.63998,0.083620659,-0.30937535,0.028035868,0.01024651,0.882165132,-8.238,-8.238,b,26.21,1.732050808,428,-39,499.4919735,ABUND,LOW,48,0.0118,0.018053,43.30127019,0.118107458,55.39245555,7.442610802,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 345,1956,1993,38,5,59.16566,59.16566,10.83622,0.063923993,-0.285451519,0,0,NA,-8.238,-8.238,b,26.21,2.236067977,428,-21,476.1931055,ABUND,LOW,48,0,0.026526,0,0,37.69886149,6.139939861,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 346,1973,1976,4,3,59.10441,59.10441,10.84018,0.061371909,-0.285451519,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,-4,472.5384865,ABUND,LOW,48,0,0.462908,0,0,2.160256466,1.469781094,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 94,1953,1998,46,3,58.68997,58.68997,9.119772,0.044103576,-0.268305109,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,-24,365.3965079,ABUND,LOW,48,0,0.029202,0,0,34.24422985,5.851856957,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 466 NA,1986,2007,22,17,58.31445098,58.31445098,-5.282137255,0.02845695,-0.266452873,-0.007234767,0.046106786,0.001638762,-8.238,-8.238,b,26.21,4.123105626,466,9,613.4860107,ABUND,LOW,48,-0.0053,0.0272,73.47963206,-0.053234607,36.76470588,6.063390626,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft120long,2004,2010,7,7,51.18184,51.18184,2.681167,-0.268735174,-0.129229841,-0.307102204,0.154902518,0.440121563,-8.238,-8.238,b,26.21,2.645751311,501,27,610.427327,ABUND,LOW,48,-0.352,0.091396,104.2596374,-3.519528585,10.94139787,3.307778389,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft120short,2010,2012,3,3,51.18184,51.18184,2.681167,-0.268735174,-0.129229841,-0.939585739,0.342313655,0.882821361,-8.238,-8.238,b,26.21,1.732050808,501,33,610.427327,ABUND,LOW,48,-0.8635,0.397868,82.06425947,-8.635380483,2.513396403,1.585369485,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft215long,2004,2010,7,7,51.263,51.263,2.6105,-0.265353507,-0.129083688,0.014135772,0.206923123,0.000932494,-8.238,-8.238,b,26.21,2.645751311,501,27,602.4390627,ABUND,LOW,48,0.0122,0.119245,86.23878102,0.121920272,8.386095853,2.895875663,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft215short,2009,2012,4,4,51.263,51.263,2.6105,-0.265353507,-0.129083688,-0.637452439,0.311170683,0.677242687,-8.238,-8.238,b,26.21,2,501,32,602.4390627,ABUND,LOW,48,-0.291,0.382196,44.59519766,-2.9103914,2.616458571,1.617547085,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft230long,2004,2010,7,7,51.29867,51.29867,2.831,-0.263867257,-0.130803884,-0.156661674,0.194803919,0.11453344,-8.238,-8.238,b,26.21,2.645751311,501,27,595.8232787,ABUND,LOW,48,-0.2131,0.09717,131.1545108,-2.131315759,10.29124215,3.207996595,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft230short,2009,2012,4,4,51.29867,51.29867,2.831,-0.263867257,-0.130803884,-0.387927157,0.474084655,0.250812466,-8.238,-8.238,b,26.21,2,501,32,595.8232787,ABUND,LOW,48,-0.4583,0.279282,111.6308441,-4.582995127,3.580610279,1.892250057,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft340long,2004,2010,7,7,51.4895,51.4895,2.978167,-0.255916007,-0.136707029,-0.246599139,0.175199646,0.283785297,-8.238,-8.238,b,26.21,2.645751311,501,27,573.2088985,ABUND,LOW,48,-0.1823,0.112905,71.9403074,-1.822617119,8.857003676,2.976071853,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft340short,2010,2012,3,3,51.4895,51.4895,2.978167,-0.255916007,-0.136707029,0.634974243,0.772533307,0.403192289,-8.238,-8.238,b,26.21,1.732050808,501,33,573.2088985,ABUND,LOW,48,0.5121,0.514313,77.31236225,5.120948174,1.944341286,1.394396388,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft350long,2004,2009,6,6,51.5735,51.5735,3.225167,-0.252416007,-0.14279686,-0.300281548,0.221102509,0.315591528,-8.238,-8.238,b,26.21,2.449489743,501,27,561.4777799,ABUND,LOW,48,-0.3585,0.12603,110.8643402,-3.585128297,7.934618742,2.81684553,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft415long,2007,2012,6,4,51.3875,51.3875,2.324167,-0.260166007,-0.127025562,-0.148253689,0.310085922,0.102569396,-8.238,-8.238,b,26.21,2,501,30,592.9091626,ABUND,LOW,48,-0.0943,0.901548,59.48290501,-0.942927674,1.109203281,1.053187202,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft421long,2005,2010,6,5,51.46667,51.46667,2.456,-0.256867257,-0.12927495,0.37740911,0.173320996,0.612481835,-8.238,-8.238,b,26.21,2.236067977,501,28,582.3397414,ABUND,LOW,48,0.3027,0.929213,77.46001301,3.026903094,1.07617952,1.037390727,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft421short,2010,2012,3,3,51.46667,51.46667,2.456,-0.256867257,-0.12927495,-0.888038795,0.459768528,0.788612901,-8.238,-8.238,b,26.21,1.732050808,501,33,582.3397414,ABUND,LOW,48,-0.8955,2.170756,89.34347713,-8.954618175,0.460669002,0.678726014,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft435long,2005,2010,6,6,51.56833,51.56833,2.771333,-0.252631424,-0.133361366,-0.521411641,0.058830659,0.951545349,-8.238,-8.238,b,26.21,2.449489743,501,28,566.9767184,ABUND,LOW,48,-0.3661,0.826268,65.0089638,-3.66123023,1.210261078,1.100118665,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft545long,2005,2009,5,5,51.72217,51.72217,3.0445,-0.246221424,-0.140156894,0.142659698,0.35573783,0.050879474,-8.238,-8.238,b,26.21,2.236067977,501,28,546.9095007,ABUND,LOW,48,0.1217,0.882481,84.73573439,1.216571742,1.133168873,1.06450405,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft800long,2005,2009,5,3,51.84,51.84,2.849333,-0.241311841,-0.138371548,0.291012116,0.406585721,0.338752207,-8.238,-8.238,b,26.21,1.732050808,501,28,536.2602076,ABUND,LOW,48,0.0466,1.737386,15.98396509,0.465825357,0.575577333,0.758668131,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft830long,2005,2010,6,6,51.72467,51.72467,2.468833,-0.246117257,-0.133772695,-0.157941548,0.25532761,0.087309364,-8.238,-8.238,b,26.21,2.449489743,501,28,554.0940741,ABUND,LOW,48,-0.1989,0.717362,122.979149,-1.989306691,1.393996337,1.18067622,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft840long,2005,2010,6,4,51.73466,51.73466,2.630667,-0.245701007,-0.134270117,-0.271119679,0.226897232,0.416533323,-8.238,-8.238,b,26.21,2,501,28,550.6611524,ABUND,LOW,48,-0.0845,0.957125,30.89866586,-0.845245654,1.044795612,1.022152441,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 501 ft840short,2010,2012,3,3,51.73466,51.73466,2.630667,-0.245701007,-0.134270117,0.732706807,0.68054444,0.536859265,-8.238,-8.238,b,26.21,1.732050808,501,33,550.6611524,ABUND,LOW,48,0.8053,1.413799,99.48084347,8.052602913,0.707314123,0.841019692,Count,Low commercial value
Clupeidae,Alosa aestivalis,Alosa aestivalis 119 NA,1991,2006,16,6,43.1344875,43.1344875,-66.2759625,0.264681044,-0.271630159,-0.133187661,0.064240996,0.517977425,-4.41,-3.765,p,50.78,2.449489743,119,23,163.2476298,ABUND,LOW,197,-0.3805,0.02888,204.7777876,-3.805204718,34.62603878,5.884389414,Count,High commercial value
Clupeidae,Alosa aestivalis,Alosa aestivalis 123 NA,2001,2009,9,9,43.81009111,43.81009111,-69.11990676,0.297371541,-0.233725116,-0.2057113,0.114027687,0.317378542,-4.41,-3.765,p,50.78,3,123,33,100.3638854,ABUND,LOW,197,-0.212,0.022462,97.2442318,-2.120349967,44.51963316,6.672303437,Count,High commercial value
Clupeidae,Alosa aestivalis,Alosa aestivalis 180 NA,1970,1994,25,25,40.528688,40.528688,-71.5685931,0.138593971,-0.030640833,-0.025882936,0.027812737,0.036287678,-3.12,-3.765,p,50.78,5,180,2,218.3366341,ABUND,LOW,197,-0.0163,0.007923,62.71995686,-0.162785958,126.2148176,11.23453682,Count,High commercial value
Clupeidae,Alosa aestivalis,Alosa aestivalis 213 NA,1948,2008,61,47,40.06863875,40.06863875,-72.30814674,0.116333524,0.007584467,0.008604817,0.010302447,0.015265436,-3.12,-3.765,p,50.78,6.8556546,213,-20,182.1249527,ABUND,LOW,197,0.0062,0.002752,70.97877878,0.061733299,363.372093,19.06232129,Count,High commercial value
Clupeidae,Alosa pseudoharengus,Alosa pseudoharengus 123 NA,2000,2009,10,10,43.88004097,43.88004097,-68.99108362,0.103995356,-0.174734685,0.044136662,0.115727516,0.017857078,-2.142,0.986,p,29.18,3.16227766,123,32,99.96917858,ABUND,LOW,197,0.0128,0.007389,28.91529551,0.127657467,135.3363107,11.63341355,Count,High commercial value
Clupeidae,Alosa pseudoharengus,Alosa pseudoharengus 180 NA,1970,1994,25,25,42.17569035,42.17569035,-68.79544733,-0.000887759,-0.091468174,-0.001806837,0.028329025,0.000176836,-2.142,0.986,p,29.18,5,180,2,115.3765727,ABUND,LOW,197,-0.0009,0.006305,48.56956673,-0.008775802,158.6042823,12.59381921,Count,High commercial value
Clupeidae,Alosa pseudoharengus,Alosa pseudoharengus 213 NA,1948,2008,61,48,41.18831242,41.18831242,-70.5010797,-0.061649477,-0.075718726,-0.005880255,0.009718743,0.007895357,4.19,0.986,p,29.18,6.92820323,213,-20,155.9536324,ABUND,LOW,118,-0.0031,0.002211,53.92699304,-0.031479061,452.2840344,21.2669705,Count,High commercial value
Clupeidae,Alosa pseudoharengus,Alosa pseudoharengus 227 NA,1990,1993,4,4,39.39373036,39.39373036,-76.05464607,-0.172085297,-0.006655304,-0.360630008,0.484740135,0.216756672,-0.444,0.986,p,29.18,2,227,22,407.7904964,ABUND,LOW,197,-0.2899,0.200995,78.54445524,-2.899464904,4.975248141,2.230526427,Count,High commercial value
Clupeidae,Alosa pseudoharengus,Alosa pseudoharengus 288 NA,1970,1995,26,26,43.90858952,43.90858952,-65.70186528,0.10575219,-0.202643033,0.059175022,0.023798051,0.204848468,-2.142,0.986,p,29.18,5.099019514,288,2,225.3226294,ABUND,LOW,197,0.0197,0.02,33.11801734,0.196831045,50,7.071067812,Count,High commercial value
Clupeidae,Alosa sapidissima,Alosa sapidissima 119 NA,1970,2010,41,40,43.74850061,43.74850061,-65.99026708,0.014683751,-0.262940903,0.030848631,0.01283502,0.131958032,-1.211,5.329,p,50.23,6.32455532,119,-0.25,197.4140902,ABUND,LOW,197,0.0259,0.00678,82.10574964,0.258621756,147.4926254,12.14465419,Count,High commercial value
Clupeidae,Alosa sapidissima,Alosa sapidissima 123 NA,2000,2009,10,10,43.7675345,43.7675345,-69.24463287,0.015186849,-0.212972317,0.128648981,0.107552516,0.15171347,-1.211,5.329,p,50.23,3.16227766,123,29.75,104.1840294,ABUND,LOW,197,0.0723,0.044272,55.73608628,0.723331352,22.58764004,4.752645584,Count,High commercial value
Clupeidae,Alosa sapidissima,Alosa sapidissima 178 NA,1967,2007,41,31,49.00757573,49.00757573,-126.1613402,0.153690142,-0.169869396,0,0,NA,15.422,5.329,p,50.23,5.567764363,178,-3.25,707.5148648,ABUND,LOW,118,0,0.017575,0,0,56.89900427,7.543142864,Presence/Absence,High commercial value
Clupeidae,Alosa sapidissima,Alosa sapidissima 180 NA,1970,1994,25,25,41.48107684,41.48107684,-69.6246275,-0.045248155,-0.136702061,0.030715658,0.027598115,0.051103632,-1.211,5.329,p,50.23,5,180,-0.25,215.2441426,ABUND,LOW,197,0.0138,0.01509,44.89230384,0.138164062,66.26905235,8.140580591,Count,High commercial value
Clupeidae,Alosa sapidissima,Alosa sapidissima 213 NA,1963,2008,46,46,40.61910418,40.61910418,-71.20302044,-0.068031573,-0.03541308,-0.008144523,0.01116415,0.01195104,6.86,5.329,p,50.23,6.782329983,213,-7.25,220.863273,ABUND,LOW,54,-0.0027,0.006248,33.49267783,-0.027285352,160.0512164,12.65113498,Count,High commercial value
Clupeidae,Alosa sapidissima,Alosa sapidissima 288 NA,1978,1995,18,16,42.89423669,42.89423669,-66.55533534,-0.007895912,-0.223636854,0.126097662,0.039471066,0.42163145,-1.211,5.329,p,50.23,4,288,7.75,143.503408,ABUND,LOW,197,0.0359,0.046512,28.20570764,0.359376308,21.499828,4.636790701,Count,High commercial value
Rajidae,Amblyraja radiata,Amblyraja radiata 119 NA,1970,2010,41,41,44.17212842,44.17212842,-61.72999507,-0.350733814,-0.169879596,0.008322186,0.013300648,0.009938634,0.259,0.425,b,50.85,6.403124237,119,-2.571428571,112.9576473,ABUND,LOW,118,0.003,0.003959,36.17218876,0.030110817,252.5890376,15.89304998,Count,Low commercial value
Rajidae,Amblyraja radiata,Amblyraja radiata 123 NA,2000,2009,10,10,43.75890846,43.75890846,-68.9843823,-0.360832877,-0.1765626,-0.160169566,0.102125302,0.235164323,0,0.425,b,50.85,3.16227766,123,27.42857143,102.3871175,ABUND,LOW,54,-0.0286,0.075138,17.82229393,-0.285851324,13.30884506,3.648128981,Count,Low commercial value
Rajidae,Amblyraja radiata,Amblyraja radiata 180 NA,1970,1995,26,26,46.5462282,46.5462282,-57.89414048,-0.292711009,-0.242646306,0.029821357,0.025984534,0.05202483,0.732,0.425,b,50.85,5.099019514,180,-2.571428571,390.5664972,ABUND,LOW,118,0.0079,0.009451,26.46445883,0.078976132,105.8089091,10.28634576,Count,Low commercial value
Rajidae,Amblyraja radiata,Amblyraja radiata 184 NA,2006,2010,5,5,64.94785522,64.94785522,-63.21834268,0.157023256,-0.526482445,0,0,NA,0.732,0.425,b,50.85,2.236067977,184,33.42857143,1961.862919,ABUND,LOW,118,0,0.316226,0,0,3.16229532,1.778284376,Presence/Absence,Low commercial value
Rajidae,Amblyraja radiata,Amblyraja radiata 213 NA,1949,2008,60,47,42.63021277,42.63021277,-68.15632929,-0.388418107,-0.119919123,-0.036162855,0.008919311,0.267560517,0,0.425,b,50.85,6.8556546,213,-23.57142857,41.60160841,ABUND,LOW,54,-0.0096,0.005628,26.84421121,-0.095994387,177.6830135,13.3297792,Count,Low commercial value
Rajidae,Amblyraja radiata,Amblyraja radiata 288 NA,1970,2005,36,28,44.09442695,44.09442695,-62.03617007,-0.352632832,-0.168787864,0.022193248,0.021270848,0.040186984,0.259,0.425,b,50.85,5.291502622,288,-2.571428571,87.05468577,ABUND,LOW,118,0.0078,0.01649,35.26576079,0.077831439,60.64281383,7.787349602,Count,Low commercial value
Anarhichadidae,Anarhichas denticulatus,Anarhichas denticulatus 119 NA,1970,2009,40,23,45.12695304,45.12695304,-59.13947166,-0.370805555,-0.323436636,0.001132946,0.018448676,0.000179552,30.915,30.915,bp,78.1,4.795831523,119,-25,627.2095588,ABUND,LOW,118,0.0005,0.016118,41.40617674,0.004697677,62.04243703,7.876702167,Count,Low commercial value
Anarhichadidae,Anarhichas denticulatus,Anarhichas denticulatus 180 NA,1970,1994,25,25,50.30352788,50.30352788,-52.68213322,-0.245058798,-0.528849008,-0.034230241,0.027417726,0.063467592,30.915,30.915,bp,78.1,5,180,-25,250.806225,ABUND,LOW,118,-0.0147,0.017167,42.74002267,-0.146627986,58.25129609,7.632253671,Count,Low commercial value
Anarhichadidae,Anarhichas denticulatus,Anarhichas denticulatus 184 NA,2006,2010,5,5,64.78372333,64.78372333,-61.248238,0.106686841,-0.744875548,0,0,NA,30.915,30.915,bp,78.1,2.236067977,184,11,1937.619451,ABUND,LOW,118,0,0.316226,0,0,3.16229532,1.778284376,Presence/Absence,Low commercial value
Anarhichadidae,Anarhichas minor,Anarhichas minor 119 NA,1970,2008,39,22,45.1772156,45.1772156,-58.91837547,0.020759192,-0.354134424,-0.018500406,0.01907745,0.044909317,13.076,13.076,b,80.34,4.69041576,119,-25,609.7110533,ABUND,LOW,118,-0.013,0.016972,71.21573667,-0.130443063,58.92057506,7.675973884,Count,Low commercial value
Anarhichadidae,Anarhichas minor,Anarhichas minor 180 NA,1970,1994,25,25,49.86212032,49.86212032,-52.35440604,0.082335157,-0.564068367,-0.042630098,0.026900956,0.098438451,13.076,13.076,b,80.34,5,180,-25,199.2121945,ABUND,LOW,118,-0.0099,0.01902,23.14313563,-0.098759767,52.57623554,7.250947217,Count,Low commercial value
Anarhichadidae,Anarhichas minor,Anarhichas minor 184 NA,2006,2010,5,5,65.19071761,65.19071761,-62.02125525,0.283806315,-0.816430129,0,0,NA,13.076,13.076,b,80.34,2.236067977,184,11,1993.042339,ABUND,LOW,118,0,0.316226,0,0,3.16229532,1.778284376,Presence/Absence,Low commercial value
Engraulidae,Anchoa hepsetus,Anchoa hepsetus 112 NA,1973,1980,8,8,31.32168155,31.32168155,-80.08825397,0.294504088,0.469527228,-0.153484877,0.15443934,0.141345646,0.221,0.221,p,16.49,2.828427125,112,-14,1270.248797,ABUND,LOW,118,-0.0984,0.024103,63.46123401,-0.984212095,41.48861138,6.441165374,Count,Low commercial value
Engraulidae,Anchoa hepsetus,Anchoa hepsetus 212 NA,1973,1980,8,8,31.32168155,31.32168155,-80.08825397,0.294504088,0.469527228,-0.153484877,0.15443934,0.141345646,0.221,0.221,p,16.49,2.828427125,212,-14,1270.248797,ABUND,LOW,118,-0.0984,0.024103,63.46123401,-0.984212095,41.48861138,6.441165374,Count,Low commercial value
Engraulidae,Anchoa hepsetus,Anchoa hepsetus 213 NA,1965,2008,44,39,37.29638547,37.29638547,-75.21171056,0.363178845,0.08846904,0.01909964,0.013762075,0.049481339,0.221,0.221,p,16.49,6.244997998,213,-22,1925.894947,ABUND,LOW,118,0.018,0.000329,92.87649145,0.180294069,3039.513678,55.13178464,Count,Low commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 110 NA,1975,1997,23,18,54.24988043,54.24988043,-4.015282809,0.261355005,-0.136865107,0.057371283,0.032877793,0.159883407,6.64,6.64,b,64.35,4.242640687,110,-3,756.6206993,OCCUR,LOW,57,0.0128,0.033602,22.18104102,0.128340721,29.76013333,5.455284899,Presence/Absence,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 110,1937,1962,26,4,58.71968,58.71968,9.200807,0.324458058,-0.175258298,-0.045901073,0.051748324,0.282325745,6.64,6.64,b,64.35,2,428,-41,1531.535023,OCCUR,LOW,57,-0.0648,0.043039,104.4465936,-0.647949124,23.23474058,4.820242793,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 111,1925,2015,91,6,58.72151,58.72151,9.202807,0.324483893,-0.175258298,0.027241969,0.005168259,0.874148909,6.64,6.64,b,64.35,2.449489743,428,-53,1531.764719,OCCUR,LOW,57,0.0081,0.010443,34.99271061,0.081363026,95.75792397,9.785597783,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 112,1931,2015,85,19,58.72043,58.72043,9.202284,0.324468646,-0.175258298,0.001130774,0.008453871,0.00105132,6.64,6.64,b,64.35,4.358898944,428,-47,1531.654017,OCCUR,LOW,57,0.0005,0.00691,42.7131948,0.004839786,144.7178003,12.02987117,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 113,1929,1996,68,5,58.72681,58.72681,9.060362,0.324558717,-0.175239402,0.012855187,0.019568722,0.125759691,6.64,6.64,b,64.35,2.236067977,428,-49,1526.846309,OCCUR,LOW,57,0.0083,0.01663,55.90169944,0.082690806,60.13229104,7.754501341,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 12,1964,1994,31,4,58.18753,58.18753,8.048447,0.316945352,-0.174879332,0,0,NA,6.64,6.64,b,64.35,2,428,-14,1442.988708,OCCUR,LOW,57,0,0.041785,0,0,23.93203303,4.892037717,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 121,1927,2015,89,4,58.73479,58.73479,9.167191,0.324671375,-0.175258298,0.011886098,0.012170574,0.322905653,6.64,6.64,b,64.35,2,428,-51,1531.539035,OCCUR,LOW,57,0.0083,0.010471,66.66666667,0.082553902,95.50186229,9.772505425,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 122,1927,2009,83,19,58.73534,58.73534,9.165315,0.32467914,-0.175219202,-0.004907711,0.009234313,0.016343438,6.64,6.64,b,64.35,4.358898944,428,-51,1531.514701,OCCUR,LOW,57,-0.0025,0.007742,49.98356074,-0.024542803,129.1655903,11.36510406,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 126,1935,1962,28,5,58.72661,58.72661,9.064664,0.324555893,-0.175239402,0,0,NA,6.64,6.64,b,64.35,2.236067977,428,-43,1526.990839,OCCUR,LOW,57,0,0.038831,0,0,25.75262033,5.074703965,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 128,1996,2015,20,6,58.72662,58.72662,9.062934,0.324556034,-0.175239402,0.070606667,0.05267943,0.309919571,6.64,6.64,b,64.35,2.449489743,428,18,1526.926752,OCCUR,LOW,57,0.0544,0.040741,77.45966692,0.544075295,24.54529835,4.954321179,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 13,1932,1949,18,3,58.18889,58.18889,8.050645,0.316964552,-0.174879332,0.011583012,0.106999278,0.011583012,6.64,6.64,b,64.35,1.732050808,428,-46,1443.187561,OCCUR,LOW,57,0.0059,0.054676,50,0.0588232,18.28956032,4.276629551,Count,High commercial value
Anguillidae,Anguilla anguilla,Anguilla anguilla 428 130,1925,1929,5,3,58.7457,58.7457,9.082885,0.324825399,-0.175239402,0.47859309,0.041447377,0.992555831,6.64,6.64,b,64.35,1.732050808,428,-53,1529.290389,OCCUR,LOW,57,0.4541,0.201681,96.43650761,4.540921313,4.958325276,2.226729727,Count,High commercial value
