"family","species","unique_id","n","sqrt_n","slope","shift_of_min_sm","study_id"
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 161",5,2.23606797749979,0.0145199219318168,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 162",7,2.64575131106459,-0.0824221592232048,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 163",5,2.23606797749979,-0.000470454024300489,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 164",8,2.82842712474619,0.00994281161484809,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 171",5,2.23606797749979,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 173",4,2,0.0478707509629586,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 174",3,1.73205080756888,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 178",3,1.73205080756888,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 18",5,2.23606797749979,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 181",7,2.64575131106459,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 182",6,2.44948974278318,-0.00127334417403392,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 183",4,2,-0.0283870967741934,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 184",5,2.23606797749979,0.00724494656986698,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 185",17,4.12310562561766,0.00953976602720248,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 186",7,2.64575131106459,0.0155732365270282,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 19",9,3,-0.00306354182783568,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 190",5,2.23606797749979,0.143277464944845,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 191",28,5.29150262212918,0.00574217340081384,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 192",22,4.69041575982343,0.00268941383807025,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 194",14,3.74165738677394,0.00566333910209878,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 195",25,5,-0.00299001518592691,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 196",5,2.23606797749979,0.257943835114416,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 198",13,3.60555127546399,0.00660046797849542,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 199",11,3.3166247903554,0.00784280934153743,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 20",4,2,-0.0242872228088702,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 200",8,2.82842712474619,0.0099348354363957,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 201",5,2.23606797749979,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 202",6,2.44948974278318,-0.032573001898716,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 211",4,2,-0.0859728506787329,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 217",8,2.82842712474619,-0.0288942612062602,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 218",4,2,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 219",13,3.60555127546399,0.00562691366037077,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 225",4,2,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 231",12,3.46410161513775,0.00308318373605412,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 232",8,2.82842712474619,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 233",12,3.46410161513775,0.0109668573258652,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 234",8,2.82842712474619,0.0290879608319294,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 235",7,2.64575131106459,0.0190645004969006,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 237",4,2,-0.0755873340143002,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 238",12,3.46410161513775,-0.0315637791175844,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 239",4,2,0.0199203187250996,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 24",6,2.44948974278318,-0.0501504031763864,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 249",15,3.87298334620742,-0.00552682359536171,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 25",5,2.23606797749979,-0.0777524135259699,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 251",17,4.12310562561766,-0.0175077719811179,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 252",16,4,-0.00280736734369565,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 253",22,4.69041575982343,-0.0129321376455728,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 254",13,3.60555127546399,-0.0188981845233054,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 255",3,1.73205080756888,0.309294787065929,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 257",21,4.58257569495584,0.0165783107389397,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 258",8,2.82842712474619,-0.0301993347991109,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 26",5,2.23606797749979,0.0229907979407825,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 260",5,2.23606797749979,-0.0169621287515676,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 271",5,2.23606797749979,-0.0308423169310332,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 272",10,3.16227766016838,-0.0301235813194473,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 274",12,3.46410161513775,0.0224934615858098,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 291",30,5.47722557505166,-0.00490977705394219,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 292",19,4.35889894354067,0.0153213505355218,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 293",23,4.79583152331272,0.00196706375339919,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 294",17,4.12310562561766,0.00565425172788199,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 295",29,5.3851648071345,0.0102079934435068,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 296",16,4,-0.034039392020429,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 297",4,2,-0.00884173297966362,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 3",6,2.44948974278318,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 30",8,2.82842712474619,-0.0101933911813274,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 300",7,2.64575131106459,-0.0852449706428938,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 305",4,2,-0.0808743169398907,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 307",6,2.44948974278318,0.0498877748021065,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 308",5,2.23606797749979,0.0776616007912766,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 309",3,1.73205080756888,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 31",17,4.12310562561766,0.00495425575818576,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 32",5,2.23606797749979,-0.0855153475814307,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 321",14,3.74165738677394,-0.0211058276842574,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 322",16,4,-0.0169765791966888,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 324",4,2,0.124293785310734,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 326",8,2.82842712474619,-0.018526815227594,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 341",8,2.82842712474619,-0.0266195861504509,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 342",9,3,-0.0100047483422656,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 343",8,2.82842712474619,0.00344233581498023,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 344",17,4.12310562561766,-0.0145059289458536,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 345",11,3.3166247903554,-0.0181350799592298,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 346",10,3.16227766016838,0.00359887909504433,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 348",14,3.74165738677394,-0.0292798119508507,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 349",9,3,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 350",4,2,-0.0824786098842323,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 351",8,2.82842712474619,-0.0238587516579495,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 352",5,2.23606797749979,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 361",8,2.82842712474619,0.0115844134271856,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 362",9,3,0.0823366590580259,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 365",3,1.73205080756888,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 366",4,2,0.0262123197903015,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 369",4,2,-0.391918358845301,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 382",5,2.23606797749979,0.135519271363628,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 386",6,2.44948974278318,-0.0664534522817817,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 401",5,2.23606797749979,0.045122447976453,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 56",11,3.3166247903554,-0.0135922084841035,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 57",7,2.64575131106459,-0.00624744500755116,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 59",4,2,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 66",9,3,-0.0144702271383199,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 86",3,1.73205080756888,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 91",25,5,-0.0216838452267122,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 92",20,4.47213595499958,0.00914458965988937,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 93",12,3.46410161513775,0.0058629709227056,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 94",7,2.64575131106459,-0.0356291745259611,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 95",13,3.60555127546399,1.66274912349629e-05,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 96",11,3.3166247903554,-0.0102483577917509,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 97",6,2.44948974278318,-0.0184172161111512,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 99",5,2.23606797749979,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 467 ARE",4,2,-0.149061878411843,7.203,467
"Anguillidae","Anguilla anguilla","Anguilla anguilla 467 BAR",4,2,-0.173506347119115,7.203,467
"Anguillidae","Anguilla anguilla","Anguilla anguilla 467 GAF",4,2,-0.169544704500454,7.203,467
"Anguillidae","Anguilla anguilla","Anguilla anguilla 467 SJA",3,1.73205080756888,-0.149763791631908,7.203,467
"Anguillidae","Anguilla anguilla","Anguilla anguilla 467 TOR",4,2,-0.181130889000552,7.203,467
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 113 NA",3,1.73205080756888,0,9.586,113
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 466 NA",12,3.46410161513775,0.117963831478493,5.789,466
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft120long",5,2.23606797749979,-0.33386477019,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft215long",7,2.64575131106459,-0.33382002414622,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft215short",4,2,0.653161597947271,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft230long",5,2.23606797749979,-0.342314861932542,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft340long",7,2.64575131106459,-0.15557324312746,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft340short",3,1.73205080756888,0.428040503829005,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft350long",6,2.44948974278318,-0.134490547823296,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft415long",7,2.64575131106459,0.0320187344479319,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft415short",3,1.73205080756888,0.808807364236664,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft421long",6,2.44948974278318,0.240445407865368,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft421short",3,1.73205080756888,0.732843483841143,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft435long",7,2.64575131106459,-0.0230410285054874,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft545long",5,2.23606797749979,-0.183985898739609,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft800long",6,2.44948974278318,0.0335296779251061,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft820long",5,2.23606797749979,0.415865279108318,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft820short",3,1.73205080756888,0.992790776356538,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft830long",6,2.44948974278318,0.344335446819451,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft830short",3,1.73205080756888,0.71202893702771,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft840long",6,2.44948974278318,-0.0503640832484845,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 501 ft840short",3,1.73205080756888,0.626565331249263,9.586,501
"Bothidae","Arnoglossus laterna","Arnoglossus laterna 76 NA",3,1.73205080756888,-0.635488909302398,9.586,76
"Lotidae","Brosme brosme","Brosme brosme 119 NA",40,6.32455532033676,-0.0619949197881568,-3.451,119
"Lotidae","Brosme brosme","Brosme brosme 176 NA",4,2,-0.207875384259657,-3.451,176
"Lotidae","Brosme brosme","Brosme brosme 180 NA",25,5,-0.0426615576621796,-3.451,180
"Lotidae","Brosme brosme","Brosme brosme 213 NA",48,6.92820323027551,-0.038607358789964,-3.451,213
"Lotidae","Brosme brosme","Brosme brosme 288 NA",13,3.60555127546399,0.000385095214740672,-3.451,288
"Lotidae","Brosme brosme","Brosme brosme 466 NA",21,4.58257569495584,-0.0753586658456085,-3.451,466
"Soleidae","Buglossidium luteum","Buglossidium luteum 466 NA",18,4.24264068711928,0.0369391123794804,6.559,466
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft120long",4,2,0.358298366776178,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft215long",7,2.64575131106459,0.157904827699454,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft215short",4,2,0.535238417840417,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft230long",5,2.23606797749979,-0.151794649922905,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft340long",7,2.64575131106459,-0.0855285331407725,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft340short",3,1.73205080756888,0.608143331056024,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft350long",5,2.23606797749979,-0.348125366451435,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft415long",7,2.64575131106459,-0.142225487537712,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft415short",3,1.73205080756888,0.988809019942949,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft421long",5,2.23606797749979,0.380771163290182,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft421short",3,1.73205080756888,0.9358940204277,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft435long",7,2.64575131106459,-0.036439881197914,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft545long",5,2.23606797749979,0.0208780782516967,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft800long",6,2.44948974278318,0.211158383090184,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft820long",5,2.23606797749979,0.0735994244645821,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft820short",3,1.73205080756888,0.893134595709994,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft830long",6,2.44948974278318,-0.211998661588626,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft830short",3,1.73205080756888,0.600008351915818,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft840long",6,2.44948974278318,0.156285291913842,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 501 ft840short",3,1.73205080756888,0.942427293991574,6.559,501
"Soleidae","Buglossidium luteum","Buglossidium luteum 76 NA",4,2,-0.645679944216702,6.559,76
"Clupeidae","Clupea harengus","Clupea harengus 110 NA",4,2,0,0,110
"Clupeidae","Clupea harengus","Clupea harengus 119 NA",41,6.40312423743285,0.0428648388064961,0,119
"Clupeidae","Clupea harengus","Clupea harengus 123 NA",10,3.16227766016838,-0.0464273303424098,0,123
"Clupeidae","Clupea harengus","Clupea harengus 128 NA",5,2.23606797749979,0,0,128
"Clupeidae","Clupea harengus","Clupea harengus 176 NA",8,2.82842712474619,0.0809235909713995,0,176
"Clupeidae","Clupea harengus","Clupea harengus 213 NA",48,6.92820323027551,0.0453319490922432,0,213
"Clupeidae","Clupea harengus","Clupea harengus 288 NA",27,5.19615242270663,0.0374806427192516,0,288
"Clupeidae","Clupea harengus","Clupea harengus 428 1",3,1.73205080756888,-0.0425043142961776,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 111",7,2.64575131106459,-0.0357143358750292,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 112",25,5,-0.0120515855694165,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 113",7,2.64575131106459,-0.0789869121542714,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 116",4,2,0.0054584729644194,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 12",4,2,0.0242552111698101,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 122",13,3.60555127546399,0.00709190740062164,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 14",3,1.73205080756888,-0.0438493875334002,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 142",3,1.73205080756888,0,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 15",4,2,0.025062656641604,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 151",8,2.82842712474619,-0.0322074822688261,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 152",10,3.16227766016838,-0.0137731813122158,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 153",4,2,0.0626594481492839,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 16",12,3.46410161513775,-0.016624907371163,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 161",6,2.44948974278318,0.028572430750337,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 162",3,1.73205080756888,0.0984555984555989,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 163",7,2.64575131106459,-0.0160006397361505,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 164",8,2.82842712474619,-0.0343908911324471,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 171",6,2.44948974278318,0.00540693541466428,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 172",5,2.23606797749979,0.0147371520408591,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 173",5,2.23606797749979,0.0463400625519728,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 174",7,2.64575131106459,0.0890859655841046,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 178",6,2.44948974278318,0.00514789790427118,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 179",6,2.44948974278318,0.0479940960227846,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 181",9,3,-0.0124585480494773,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 182",12,3.46410161513775,-0.00459961832905275,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 183",8,2.82842712474619,-0.0228098961673078,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 185",8,2.82842712474619,-0.0333830896819524,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 191",6,2.44948974278318,0.0830488506020322,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 192",5,2.23606797749979,-0.000268459754914761,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 194",7,2.64575131106459,-0.0341429181667712,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 195",8,2.82842712474619,-0.0286791153881322,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 196",3,1.73205080756888,0.241935483870999,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 197",9,3,-0.0370783854531496,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 198",5,2.23606797749979,0.0105635980232435,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 199",11,3.3166247903554,-0.0263948246898229,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 2",5,2.23606797749979,0.0223130846996749,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 20",4,2,0.000294334069168538,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 200",5,2.23606797749979,-0.0962900086004685,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 201",5,2.23606797749979,0.0146254446202748,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 202",5,2.23606797749979,-0.0338915550250804,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 211",4,2,-0.0111832373960311,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 216",3,1.73205080756888,-0.140287769784177,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 217",3,1.73205080756888,-0.0117030459970955,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 218",3,1.73205080756888,0.100700628347038,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 219",4,2,-0.0295832094539033,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 231",6,2.44948974278318,0.107103699749785,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 234",3,1.73205080756888,0.321428571428594,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 235",6,2.44948974278318,-0.0445590313313207,0,428
"Clupeidae","Clupea harengus","Clupea harengus 428 251",8,2.82842712474619,-0.0295647601933768,0,428
